"Escape.ID","Operator.at.Time.of.Escape","Escape.Water.Type","Escape.Start.Date","Escape.Start.Time","Escape.End.Time","Escape.Grid.Reference","Escaped.Species","Stage","Age","Average.Weight","Initial.Date.of.Escape","Initial.Number.Escaped","Initial.Escape.Reason","Final.Date.of.Escape","Final.Number.Escaped","Final.Number.Recovered","Final.Escape.Reason","Marine.Scotland.Site.ID","Date.Registered","Site.Name","National.Grid.Reference","Local.Authority","Producing.in.Last.3.Years","Site.Address.1","Site.Address.2","Site.Address.3","Site.Post.Code","Site.Contact.Number","Aquaculture.Type","Water.Type","Health.Surveillance","Easting","Northing","MS.Management.Area","Region","Operator","Species"
"2000416","the scottish salmon company","s","09-jan-15",NA,"10-jan-15",NA,"atlantic salmon","grower fish (salmon only)","11 months","2.2kg","12-jan-15","unknown","weather - wth","26-jan-15","0","0","no actual escape of fish - nes","fs1262","04-may-12","sgeir dughall","ng770610","highland","yes","kenmore","ross-shire","n/a","iv54 8xh","01546 602172","fish","seawater","medium","177000","861000","11a - torridon","highland","the scottish salmon company","atlantic salmon, wrasse, lumpsucker"
"2000488","the scottish salmon company","s","24-apr-19",NA,"24-apr-19","ng189927","atlantic salmon","grower fish (salmon only)","27 months","3.8kg","25-apr-19","0","hole in net - hol","14-jun-19","0","0","hole in net - hol","fs1277","12-sep-13","reibinish","ng189927","western isles","yes","meavag pier","isle of harris","western isles","n/a","01546 602172","fish","seawater","medium","118900","892700","5b - se lewis, e harris","western isles","the scottish salmon company","atlantic salmon, wrasse, lumpsucker"
"2000415","the scottish salmon company","s","16-dec-14","10:30","16-dec-14",NA,"atlantic salmon","grower fish (salmon only)","6 months","0.8kg","16-dec-14","1","equipment wear and tear - eqw","16-dec-14","1","0","equipment wear and tear - eqw","fs1282","23-dec-13","greanamul","nf884481","western isles","yes","loch a laip","isle of benbecula","western isles","hs7 5qh","01546 602172","fish","seawater","medium","88400","848100","7a - ronay, benbecula, n south uist","western isles","the scottish salmon company","atlantic salmon, wrasse, lumpsucker"
"2000221","lighthouse caledonia ltd","s","19-mar-09",NA,"19-mar-09",NA,"atlantic salmon","grower fish (salmon only)","24 months","3 kg","20-mar-09","unknown","no actual escape of fish - nes","16-apr-09","0","0","no actual escape of fish - nes","fs0091","28-sep-88","meall mhor loch fyne","nr865745","argyll and bute","yes","stronachullin","tarbert road","ardrishaig, argyll","pa30 8et","01546 602172","fish","seawater","medium","186500","674500","19a - fyne","strathclyde","the scottish salmon company","lumpsucker, atlantic salmon, wrasse"
"2000256","marine harvest (scotland) ltd","f","02-mar-10",NA,"02-mar-10","nn189847","atlantic salmon","salmon fresh water stages","11 months","80 g","03-mar-10","to be confirmed","weather - wth","24-mar-10","10,775","1,000 ongoing","weather - wth","fs0150","11-jun-96","loch lochy","nn193853","highland","yes","gairlochy","fort william","highland","ph34 4eq","01397 712503","fish","freshwater","medium","219300","785300","not in a management area","highland","mowi scotland ltd","atlantic salmon"
"2000037","mainstream scotland ltd","s","27-jun-05","unknown","04-jul-05","nm972347","rainbow trout","fish weighing more than 5 grams","24 months","3083 g","01-aug-05","2200","hole in net - hol","01-aug-05","2203","0","hole in net - hol","fs0197","23-apr-93","ardchattan bay","nm973347","argyll and bute","no","n/a",NA,NA,NA,NA,"fish","seawater","high","197300","734700",NA,"strathclyde","dawnfresh farming ltd","rainbow trout"
"2000190","kames fish farming ltd","s","29-feb-08",NA,"01-mar-08","nm972347","rainbow trout","fish weighing more than 5 grams","21 months","2500 g","03-mar-08","5,000","weather - wth","26-mar-08","4047","2500","weather - wth","fs0197","23-apr-93","ardchattan bay","nm973347","argyll and bute","no","n/a",NA,NA,NA,NA,"fish","seawater","high","197300","734700",NA,"strathclyde","dawnfresh farming ltd","rainbow trout"
"2000161","scottish sea farms ltd","s","28-may-07","18","28-may-07","hu384365","atlantic salmon","grower fish (salmon only)","19 months","4.1 kg","30-may-07","100","hole in net - hol","20-jul-07","16,989","0","hole in net - hol","fs0230","19-mar-92","brunaness","hu384365","shetland","no","c/o blackness pier","scalloway","shetland","ze1 0tq","01595 881002","fish","seawater","medium","438400","1136500","3a - sw shetland mainland","shetland","scottish sea farms ltd","atlantic salmon, wrasse, lumpsucker"
"2000320","marine harvest (scotland) ltd","s","30-mar-01",NA,NA,NA,"atlantic salmon","grower fish (salmon only)","2000 pp","2.8 kg",NA,"3000","predator - prd",NA,"3000",NA,"predator - prd","fs0240","18-may-83","linnhe","nn013647","highland","yes","east lodge","ardgour","by fort william","ph33 7ah","01855 841281","fish","seawater","high","201300","764700","15b - linnhe, firth of lorne, sound of mull and loch sunart","highland","mowi scotland ltd","atlantic salmon, lumpsucker, wrasse"
"2000083","marine harvest (scotland) ltd","s","10-nov-04","17:30",NA,"nn088600","atlantic salmon","grower fish (salmon only)","9 months","1.8 kg","11-nov-04","unknown","no actual escape of fish - nes","11-jan-05","0","0","no actual escape of fish - nes","fs0244","25-sep-80","loch leven (1)","nn079595","highland","yes","callert","onich, fort william","inverness-shire","ph33 6sa","01855 821345","fish","seawater","low","207900","759500","15b - linnhe, firth of lorne, sound of mull and loch sunart","highland","mowi scotland ltd","wrasse, atlantic salmon, lumpsucker"
"2000047","marine harvest (scotland) ltd","s","15-jul-06","unknown",NA,"ng824244","atlantic salmon","grower fish (salmon only)","15 months","4.0 kg","19-jul-06","10,000","unknown - unk","21-aug-06","1950","0","hole in net - hol","fs0245","22-oct-85","ardintoul","ng824244","highland","yes","letterfearn","glenshiel","kyle, ross-shire","iv40 8ht","01599 534554","fish","seawater","medium","182400","824400","14a - carron, kishorn, alsh, duich","highland","mowi scotland ltd","lumpsucker, atlantic salmon, wrasse"
"2000197","caledonian trout company","f","01-jun-08","10:00",NA,"nm956080","rainbow trout","fish weighing more than 5 grams","14 months","221 g","01-jun-08","several hundred","vandalism - van","26-jun-08","381","1","vandalism - van","fs0260","11-dec-85","braevallich farm","nm955080","argyll and bute","yes","braevallich farm","by dalmally","argyll","pa33 1bu","01866 844339","fish","freshwater","low","195500","708000","not in a management area","strathclyde","dawnfresh farming ltd","rainbow trout"
"2000199","kames fish farming ltd","f","09-jul-08",NA,"09-jul-08","nm924146","atlantic salmon","salmon fresh water stages","7 months","30-40g","25-jul-08","250-750","unknown - unk","01-sep-08","1700","0","unknown - unk","fs0270","01-apr-85","loch avich","nm924146","argyll and bute","yes","narrachan, loch avich","taynuilt","argyll","pa35 1hj","01852 200286","fish","freshwater","low","192400","714600","not in a management area","strathclyde","kames fish farming ltd","atlantic salmon"
"2000465","the scottish salmon company","s","10-dec-17","09:00","12-dec-17","58°11.540","atlantic salmon","grower fish (salmon only)","13 months","1.7 kg","12-dec-17","0","predator - prd","21-dec-17","0","0","predator - prd","fs0411","01-jan-89","vuiabeag","nb121331","western isles","yes","n/a",NA,NA,NA,NA,"fish","seawater","medium","112100","933100","6a - loch roag","western isles","the scottish salmon company","lumpsucker, wrasse, atlantic salmon"
"2000082","marine harvest (scotland) ltd","s","11-nov-04","15:00",NA,"nm643590","atlantic salmon","grower fish (salmon only)","18 months ","4 kg","11-nov-04","unknown","predator - prd","11-jan-05","3,000","0","predator - prd","fs0413","01-jan-88","camas glas","nm646589","highland","yes","glenborrodale","acharacle","highland","ph36 4jp","01972 500767","fish","seawater","medium","164600","758900","15b - linnhe, firth of lorne, sound of mull and loch sunart","highland","mowi scotland ltd","atlantic salmon, wrasse, lumpsucker"
"2000183","lakeland unst seawater","s","04-dec-07","10:00",NA,"hu611993","atlantic salmon","broodfish","30 & 42 mo","6.5 & 12 kg","12-dec-07","2","human error - hum","12-dec-07","2","0","human error - hum","fs0451","01-aug-95","turness","hu611993","shetland","yes","uyeasound","unst","shetland","ze2 9dl","01957 755253","fish","seawater","medium","461100","1199300","1b - s unst, e yell, fetlar","shetland","cooke aquaculture scotland ltd","lumpsucker, atlantic salmon"
"2000050","kames marine fish farming","s","13-sep-06","23:00","14-sep-06","nm824117","halibut","fish weighing more than 5 grams","48 months","5 kg","18-sep-06","15700","vandalism - van","20-sep-06","12,230","500 (dead)","vandalism - van","fs0462","01-jan-83","kames bay (east)","nm824117","argyll and bute","yes","kilmelford","oban","argyll","pa34 4xa","01852 200286","fish","seawater","medium","182400","711700","16d - seil sound to loch craignish","strathclyde","kames fish farming ltd","rainbow trout"
