"Escape.ID","Operator.at.Time.of.Escape","Escape.Water.Type","Escape.Start.Date","Escape.Start.Time","Escape.End.Time","Escape.Grid.Reference","Escaped.Species","Stage","Age","Average.Weight","Initial.Date.of.Escape","Initial.Number.Escaped","Initial.Escape.Reason","Final.Date.of.Escape","Final.Number.Escaped","Final.Number.Recovered","Final.Escape.Reason","Marine.Scotland.Site.ID","Date.Registered","Site.Name","National.Grid.Reference","Local.Authority","Producing.in.Last.3.Years","Site.Address.1","Site.Address.2","Site.Address.3","Site.Post.Code","Site.Contact.Number","Aquaculture.Type","Water.Type","Health.Surveillance","Easting","Northing","MS.Management.Area","Region","Operator","Species"
2000267,"dawnfresh farming ltd","f",2010-05-20,NA,"21-May-10",NA,"rainbow trout","fish weighing more than 5 grams","18 months","300 g","21-May-10","57","human error - hum","21-May-10","57","0","human error - hum","fs0268","01-Jan-78","tervine","nn080264","argyll and bute","yes","tervine, kilchrenan","taynuilt","argyll","pa35 1he","01866 833220","fish","freshwater","low",208000,726400,"not in a management area","strathclyde","dawnfresh farming ltd","rainbow trout"
2000076,"torhouse trout ltd","f",2005-06-24,"21:00",NA,"nn083263","rainbow trout","fish weighing more than 5 grams","3 months","70g","08-Jul-05",">500","predator - prd","26-Jul-05","4,500","0","predator - prd","fs0268","01-Jan-78","tervine","nn080264","argyll and bute","yes","tervine, kilchrenan","taynuilt","argyll","pa35 1he","01866 833220","fish","freshwater","low",208000,726400,"not in a management area","strathclyde","dawnfresh farming ltd","rainbow trout"
2000200,"scot trout farming ltd","f",2008-08-20,NA,"20-Aug-08","nn083263","rainbow trout","fish weighing more than 5 grams","unknown","350 - 400 g","25-Aug-08","unknown","unknown - unk","02-Sep-08","1254","14","hole in net - hol","fs0268","01-Jan-78","tervine","nn080264","argyll and bute","yes","tervine, kilchrenan","taynuilt","argyll","pa35 1he","01866 833220","fish","freshwater","low",208000,726400,"not in a management area","strathclyde","dawnfresh farming ltd","rainbow trout"
2000355,"aquascot sea farms ltd.","s",2002-04-27,NA,NA,NA,"atlantic salmon","grower fish (salmon only)","2001 s1","2.4 kg",NA,"19750","human error - hum",NA,"19750",NA,"equipment damage - eqd","fs0336","01-Apr-98","druimyeon bay","nr668519","argyll and bute","yes","highfield","isle of gigha","argyll","pa41 7aa","01546 602172","fish","seawater","medium",166800,651900,"18b - gigha","strathclyde","the scottish salmon company","atlantic salmon, wrasse, lumpsucker"
2000163,"kames fish farming ltd","f",2007-05-01,"NA","28-May-07","nn762442","rainbow trout","fish weighing more than 5 grams","unknown","unknown","28-May-07","0","no actual escape of fish - nes","11-Jun-07","0","0","no actual escape of fish - nes","fs0432","01-Jul-80","loch tay","nn762442","perth and kinross","yes","loch tay fish farm","remony estate","acharn, perthshire","ph15 2hp","01852 200286","fish","freshwater","low",276200,744200,"not in a management area","tayside","kames fish farming ltd","rainbow trout"
2000356,"kames fish farming ltd","f",2013-06-03,"NA","04-Jun-13","nn762442","rainbow trout","fish weighing more than 5 grams","12 months","199g","11-Jun-13","0","predator - prd","29-Jul-13","270","0","predator - prd","fs0432","01-Jul-80","loch tay","nn762442","perth and kinross","yes","loch tay fish farm","remony estate","acharn, perthshire","ph15 2hp","01852 200286","fish","freshwater","low",276200,744200,"not in a management area","tayside","kames fish farming ltd","rainbow trout"
2000347,"hydro seafoods gsp","s",2000-04-01,NA,NA,NA,"atlantic salmon","grower fish (salmon only)","2000 s1","60 g",NA,"1000","human error - hum",NA,"1000",NA,"human error - hum","fs0481","01-Jan-88","north of hoy","hu374454","shetland","no","c/o blackness pier","scalloway","shetland","ze1 0tq","01595 881002","fish","seawater","high",437400,1145400,"3a - sw shetland mainland","shetland","scottish sea farms ltd","atlantic salmon, lumpsucker, wrasse"
2000376,"murray seafood ltd.","s",1998-09-08,NA,NA,NA,"atlantic salmon","grower fish (salmon only)","unknown","3.1 kg",NA,"10000","human error - hum",NA,"10000",NA,"human error - hum","fs0559","16-Oct-85","ardyne","ns094693","argyll and bute","yes","toward","dunoon","argyll","pa23 7uj","01546 602172","fish","seawater","medium",209400,669300,"19b - kyles of bute","strathclyde","the scottish salmon company","lumpsucker, wrasse, atlantic salmon"
2000145,"pan fish scotland ltd","s",2007-01-22,"14:00","22-Jan-07","nr918698","atlantic salmon","grower fish (salmon only)","17 months","3.3 kg","13-Feb-07","0","no actual escape of fish - nes","13-Feb-07","0","n/a","no actual escape of fish - nes","fs0590","17-Aug-89","glenan bay","nr918695","argyll and bute","yes","portavadie fish farm","millhouse tighnabruaich","argyll","pa21 2da","01546 602172","fish","seawater","medium",191800,669500,"19a - fyne","strathclyde","the scottish salmon company","lumpsucker, wrasse, atlantic salmon"
2000152,"mainstream scotland ltd","s",2007-03-15,"13:00","15-Mar-07","hy485123","rainbow trout","fish weighing more than 5 grams","1 month","235 g","19-Mar-07","not known","hole in net - hol","19-Mar-07","0","n/a","no actual escape of fish - nes","fs0597","11-Sep-89","meil bay","hy485123","orkney","yes","crowness point","hatston","kirkwall, orkney","kw15 1gp","01856 876101","fish","seawater","medium",348500,1012300,"8b - central orkney","orkney","cooke aquaculture scotland ltd","atlantic salmon, lumpsucker"
2000167,"invicta trout ltd","f",2007-06-11,"11:00","11-Jun-07","nn607073","rainbow trout","fish weighing more than 5 grams","18 months","400g","13-Jul-07","12","screen failure - scr","13-Jul-07","12","12","screen failure - scr","fs0598","02-Apr-90","trossachs trout  ltd","nn607073","stirling","yes","invertrossachs road","callander","n/a","fk17 8hg","01877 331771","fish","freshwater","medium",260700,707300,"not in a management area","central","invicta trout ltd","rainbow trout, common carp (inc. koi & mirror), brown trout and sea trout, tiger trout"
2000087,"lewis salmon ltd","s",2004-08-11,"11:00",NA,"nb410245","atlantic salmon","grower fish (salmon only)","20 months","4 kg","12-Aug-04","10,000","equipment damage - eqd","12-Aug-04","10,000","0","equipment damage - eqd","fs0615","14-Jun-96","arbhair","nb409242","western isles","no","n/a",NA,NA,NA,NA,"fish","seawater","not applicable",140900,924200,NA,"western isles","mowi scotland ltd","wrasse, atlantic salmon"
2000479,"grieg seafood shetland ltd","s",2018-09-18,"11:00","18-Sep-18","ng227523","atlantic salmon","grower fish (salmon only)","11 months","2kg","19-Sep-18","zero","hole in net - hol","07-Dec-18","0","0","hole in net - hol","fs1287","28-May-14","corlarach","ng227523","highland","yes","dunvegan pier","dunvegan","skye","iv55 8wf","01470 521465","fish","seawater","medium",122700,852300,"12b - dunvegan","highland","grieg seafood shetland ltd","wrasse, atlantic salmon, lumpsucker"
2000458,"dawnfresh farming ltd","s",2017-08-18,NA,NA,"nm 9833341","rainbow trout","fish weighing more than 5 grams","14 months","3.1kg","02-Sep-17",NA,"hole in net - hol","14-Sep-17","216","150","hole in net - hol","fs1288","18-Jun-14","etive 6","nm983341","argyll and bute","yes","loch etive trout farm","inverawe","taynuilt","pa35 1hu","01866 822549","fish","seawater","medium",198300,734100,"15b - linnhe, firth of lorne, sound of mull and loch sunart","strathclyde","dawnfresh farming ltd","rainbow trout"
2000499,"mowi scotland ltd","s",2019-10-18,"10:15","18-Oct-19","nr434967","atlantic salmon","grower fish (salmon only)","6 months","1.2kg","21-Oct-19","0","hole in net - hol","26-Nov-19","none","none","predator - prd","fs1296","09-Apr-15","colonsay","nr434968","argyll and bute","yes","c/o stob ban house","glen nevis business park","fort william","ph33 6rx","01397 715032","fish","seawater","low",143400,696800,"16e - colonsay","strathclyde","mowi scotland ltd","atlantic salmon, wrasse, lumpsucker"
2000065,"north uist fisheries ltd","f",2005-01-11,"12:00",NA,"nf878665","atlantic salmon","grower fish (salmon only)","unknown","unknown","17-Jan-05","150,000","weather - wth","08-Feb-05","151,821","1,618","weather - wth","fs0642","01-Mar-91","south loch scadavay","nf878664","western isles","no","n/a",NA,NA,NA,NA,"fish","freshwater","low",87800,866400,"not in a management area","western isles","the scottish salmon company","atlantic salmon, brown trout and sea trout"
2000207,"mainstream scotland ltd","s",2008-10-08,NA,"08-Oct-08","hu557933","atlantic salmon","grower fish (salmon only)","17 months","4.5 kg","09-Oct-08","0","weather - wth","04-Nov-08","0","0","weather - wth","fs0656","10-Sep-91","djubawick","hu557933","shetland","yes","yell shorebase","mid yell","shetland","ze2 9bn","01856 876101","fish","seawater","low",455700,1193300,"1b - s unst, e yell, fetlar","shetland","cooke aquaculture scotland ltd","atlantic salmon, lumpsucker"
2000054,"kames fish farming ltd.","s",2005-10-11,NA,NA,"ng566207","rainbow trout","fish weighing more than 5 grams","6 months","1 kg","11-Oct-05","unknown","no actual escape of fish - nes","11-Oct-05","0","n/a","no actual escape of fish - nes","fs0011","29-Aug-98","loch slapin","ng566207","highland","no","n/a",NA,NA,NA,NA,"fish","seawater","low",156600,820700,NA,"highland","mowi scotland ltd","rainbow trout"
2000269,"marine harvest (scotland) ltd","s",2010-09-30,"12:00","01-Oct-10","ng785255","atlantic salmon","grower fish (salmon only)","18 months","3 kg","01-Oct-10","100 or less","equipment wear and tear - eqw","26-Oct-10","100","0","equipment wear and tear - eqw","fs0016","30-Aug-91","loch alsh (sron)","ng785255","highland","yes","railway pier","kyle","ross-shire","iv40 8at","01599 534640","fish","seawater","high",178500,825500,"14a - carron, kishorn, alsh, duich","highland","mowi scotland ltd","lumpsucker, atlantic salmon, wrasse"
2000279,"scottish sea farms ltd","s",2011-02-21,NA,"21-Feb-11","hy423183","atlantic salmon","grower fish (salmon only)","22 months","5.5kg","23-Feb-11","0","no actual escape of fish - nes","08-Mar-11","0","0","no actual escape of fish - nes","fs0813","15-Jan-99","puldrite","hy425185","orkney","yes","orkney regional office","scapa","orkney","kw15 1sd","01856 898033","fish","seawater","medium",342500,1018500,"8b - central orkney","orkney","scottish sea farms ltd","atlantic salmon"
2000352,"stolt sea farms ltd.","s",2002-02-28,NA,NA,NA,"atlantic salmon","grower fish (salmon only)","2000 s1/2","3 kg",NA,"3000","predator - prd",NA,"3000",NA,"predator - prd","fs0853","13-Jun-95","lochmaddy","nf943700","western isles","yes","hebrides office","the pier, lochmaddy","north uist","hs6 5aa","01971 502451","fish","seawater","low",94300,870000,"5c - e north uist","western isles","loch duart ltd","wrasse, atlantic salmon, lumpsucker"
2000124,"ferramus (ss)","s",2003-08-01,NA,NA,NA,"atlantic salmon","grower fish (salmon only)","unknown","unknown","20-Aug-03","50,983","predator - prd","20-Aug-03","50983","0","predator - prd","fs0864","17-Oct-95","kirk taing","hy569335","orkney","no","n/a",NA,NA,NA,NA,"fish","seawater",NA,356900,1033500,NA,"orkney","scottish sea farms ltd","atlantic salmon"
2000117,"finfish ltd","s",2002-08-07,"12:00",NA,"nc063162","atlantic salmon","grower fish (salmon only)","16 months","2.6 kg","08-Aug-02","200","hole in net - hol","03-Sep-02","36","2","hole in net - hol","fs0883","01-Oct-96","ghlas mhor","nc063162","highland","no","n/a",NA,NA,NA,NA,"fish","seawater","low",206300,916200,NA,"highland","finfish ltd","atlantic salmon"
2000382,"hydro seafoods gsp","s",1999-01-29,NA,NA,NA,"atlantic salmon","grower fish (salmon only)","1998 s1","1 kg",NA,"100 000","weather - wth",NA,"100 000",NA,"weather - wth","fs0915","21-May-98","breigeo inshore","hu357473","shetland","no","sand","bixter","shetland","ze2 9nq","01595 881002","fish","seawater","medium",435700,1147300,"3a - sw shetland mainland","shetland","scottish sea farms ltd","lumpsucker, atlantic salmon, wrasse"
2000058,"fjord seafood scotland farming ltd","s",2005-03-30,"10:30",NA,"nb137355","atlantic salmon","grower fish (salmon only)","11 months","2.2 kg","31-Mar-05","none","human error - hum","28-Apr-05","0","n/a","no actual escape of fish - nes","fs0927","20-Oct-98","kyles of vuia","nb137355","western isles","yes","miavaig pier","uig","isle of lewis","hs2 9hw","01546 602172","fish","seawater","medium",113700,935500,"6a - loch roag","western isles","the scottish salmon company","atlantic salmon, lumpsucker, wrasse"
2000115,"western isles seafoods co. ltd","s",2002-10-17,"14:30",NA,"nb137355","atlantic salmon","grower fish (salmon only)","21 months","950g","19-Oct-02","500","human error - hum",NA,"500",NA,"human error - hum","fs0927","20-Oct-98","kyles of vuia","nb137355","western isles","yes","miavaig pier","uig","isle of lewis","hs2 9hw","01546 602172","fish","seawater","medium",113700,935500,"6a - loch roag","western isles","the scottish salmon company","atlantic salmon, lumpsucker, wrasse"
2000391,"cro lax ltd.","s",1999-11-15,NA,NA,NA,"atlantic salmon","grower fish (salmon only)","1999 s1","1 kg",NA,"10 000","weather - wth",NA,"10 000",NA,"weather - wth","fs0948","20-Apr-99","score holms ","hu355436","shetland","yes","gremista","lerwick","shetland","ze1 0px","01595 741817","fish","seawater","high",435500,1143600,"3a - sw shetland mainland","shetland","grieg seafood shetland ltd","atlantic salmon, lumpsucker"
2000494,"the scottish salmon company","s",2019-08-31,NA,"31-Aug-19","nb126343","atlantic salmon","grower fish (salmon only)","9 months","1.4kg","02-Sep-19","0","predator - prd","04-Sep-19","0","none - n/a no loss","predator - prd","fs1103","07-Mar-07","vuia mor","nb126343","western isles","yes","miavaig pier","uig","isle of lewis","hs2 9hw","01546 602172","fish","seawater","medium",112600,934300,"6a - loch roag","western isles","the scottish salmon company","atlantic salmon, lumpsucker, wrasse"
2000381,"marine harvest (scotland) ltd","f",2013-07-15,"15:30","15-Jul-13","nh221016","atlantic salmon","salmon fresh water stages","4 months","10.79g","16-Jul-13","approximately 200","human error - hum","21-Aug-13","~200","0","human error - hum","fs1104","05-Jun-07","laddie wood, loch garry","nh221016","highland","yes","ardochy","glengarry","inverness-shire","ph35 4hr","01809 511234","fish","freshwater","low",222100,801600,"not in a management area","highland","mowi scotland ltd","atlantic salmon"
2000308,"marine harvest (scotland) ltd","s",2013-02-03,NA,"21-Mar-13","nf759032","atlantic salmon","grower fish (salmon only)","10 months","2.4kg","11-Feb-13","no loss suspected","equipment wear and tear - eqw","21-Mar-13","0","n/a","weather - wth","fs1261","23-Feb-12","hellisay","nf759032","western isles","yes","sound of hellisay salmon farm","ardveenish north bay","isle of barra western isles","hs9 5ya","01871 890701","fish","seawater","low",75900,803200,"7c - barra","western isles","mowi scotland ltd","atlantic salmon, lumpsucker, wrasse"
2000498,"mowi scotland ltd","s",2019-10-10,NA,"11-Oct-19","nf759032","atlantic salmon","grower fish (salmon only)","15 months","4.5kg","14-Oct-19","unknown","equipment damage - eqd","14-Nov-19","23970","0","net failure (not including hole) - net","fs1261","23-Feb-12","hellisay","nf759032","western isles","yes","sound of hellisay salmon farm","ardveenish north bay","isle of barra western isles","hs9 5ya","01871 890701","fish","seawater","low",75900,803200,"7c - barra","western isles","mowi scotland ltd","wrasse, lumpsucker, atlantic salmon"
2000039,"pan fish scotland ltd","s",2006-04-17,"14:00",NA,"ng500442","atlantic salmon","grower fish (salmon only)","13 months","2.2 kg","18-Apr-06","unknown","no actual escape of fish - nes","15-May-06","0","n/a","no actual escape of fish - nes","fs0708","16-Oct-91","portree","ng505441","highland","yes","8a lisgarry place","portree","isle of skye","iv51 9bd","01546 602172","fish","seawater","high",150500,844100,"11b - sound of raasay, ainort, scalpay","highland","the scottish salmon company","lumpsucker, wrasse, atlantic salmon"
2000401,"balta island seafare ltd","s",2014-01-02,NA,"02-Jan-14","hp658085","atlantic salmon","grower fish (salmon only)","20 month i","4.0kg","15-Jan-14","100-200","predator - prd","02-Feb-14","ca. 150","0","predator - prd","fs0717","16-Oct-91","balta isle","hp657082","shetland","yes","uyeasound","unst","shetland","ze2 9dl","01957 755253","fish","seawater","medium",465700,1208200,"1a - e unst","shetland","cooke aquaculture scotland ltd","atlantic salmon"
2000089,"balta island seafare ltd","s",2004-04-29,NA,"06-May-04","hp658080","atlantic salmon","grower fish (salmon only)","2 yrs sw","5 kg","13-May-04","11,300","predator - prd","13-May-04","11,300","0","predator - prd","fs0717","16-Oct-91","balta isle","hp657082","shetland","yes","uyeasound","unst","shetland","ze2 9dl","01957 755253","fish","seawater","medium",465700,1208200,"1a - e unst","shetland","cooke aquaculture scotland ltd","atlantic salmon"
