"Site.Name","Escape.ID","Operator.at.Time.of.Escape","Escape.Water.Type","Escape.Start.Date","Escape.Start.Time","Escaped.Species","Stage","Age","Average.Weight","Initial.Escape.Reason","Final.Number.Escaped","Final.Number.Recovered","Marine.Scotland.Site.ID","Date.Registered","Local.Authority","Producing.in.Last.3.Years","Site.Post.Code","Health.Surveillance","MS.Management.Area","Species","Total.number.escaped","year","month","c2","c3","c4","c5","c6","c7"
"ardchattan bay",2000190,"kames fish farming ltd","s",2008-02-29,NA,"rainbow trout","fish weighing more than 5 grams",21,2500,"weather - wth",4047,2500,"fs0197",1993-04-23,"argyll and bute","no",NA,"high",NA,"rainbow trout",1547,2008,2,1.923,0.64,1.398021,0.017992502,0.103386465,0.233411754
"ardchattan bay",2000190,"kames fish farming ltd","s",2008-02-29,NA,"rainbow trout","fish weighing more than 5 grams",21,2500,"weather - wth",4047,2500,"fs0197",1993-04-23,"argyll and bute","no",NA,"high",NA,"rainbow trout",1547,2009,1,2.496,0.543,2.10912,0.01841531,0.102752161,0.302434007
"ardintoul",2000047,"marine harvest (scotland) ltd","s",2006-07-15,"NA","atlantic salmon","grower fish (salmon only)",15,4000,"unknown - unk",1950,0,"fs0245",1985-10-22,"highland","yes","iv40 8ht","medium","14a - carron, kishorn, alsh, duich","lumpsucker, atlantic salmon, wrasse",1950,2006,7,1.059,0.237,0.940392,0.016978061,0.108921293,0.133327417
"ardmaddy",2000435,"marine harvest (scotland) ltd","s",2015-09-15,"12:00","atlantic salmon","grower fish (salmon only)",15,2000,"human error - hum",1,0,"fs0464",1985-09-01,"argyll and bute","no",NA,"medium","16d - seil sound to loch craignish","atlantic salmon, wrasse, lumpsucker",1,2015,9,1.972,0.63,1.30152,0.01703191,0.086864225,0.204883178
"ardmaddy",2000435,"marine harvest (scotland) ltd","s",2015-09-15,"12:00","atlantic salmon","grower fish (salmon only)",15,2000,"human error - hum",1,0,"fs0464",1985-09-01,"argyll and bute","no",NA,"medium","16d - seil sound to loch craignish","atlantic salmon, wrasse, lumpsucker",1,2008,7,1.465,0.271,1.290665,0.01707203,0.085683604,0.150537004
"ardmaddy",2000435,"marine harvest (scotland) ltd","s",2015-09-15,"12:00","atlantic salmon","grower fish (salmon only)",15,2000,"human error - hum",1,0,"fs0464",1985-09-01,"argyll and bute","no",NA,"medium","16d - seil sound to loch craignish","atlantic salmon, wrasse, lumpsucker",1,2006,4,2.038,0.492,1.683388,0.01750451,0.085189357,0.209290102
"ardmaddy",2000034,"pan fish scotland ltd","s",2006-04-05,"09:00","atlantic salmon","grower fish (salmon only)",19,4800,"hole in net - hol",5500,0,"fs0464",1985-09-01,"argyll and bute","no",NA,"medium","16d - seil sound to loch craignish","atlantic salmon, wrasse, lumpsucker",5500,2015,9,1.972,0.63,1.30152,0.01703191,0.086864225,0.204883178
"ardmaddy",2000034,"pan fish scotland ltd","s",2006-04-05,"09:00","atlantic salmon","grower fish (salmon only)",19,4800,"hole in net - hol",5500,0,"fs0464",1985-09-01,"argyll and bute","no",NA,"medium","16d - seil sound to loch craignish","atlantic salmon, wrasse, lumpsucker",5500,2008,7,1.465,0.271,1.290665,0.01707203,0.085683604,0.150537004
"ardmaddy",2000034,"pan fish scotland ltd","s",2006-04-05,"09:00","atlantic salmon","grower fish (salmon only)",19,4800,"hole in net - hol",5500,0,"fs0464",1985-09-01,"argyll and bute","no",NA,"medium","16d - seil sound to loch craignish","atlantic salmon, wrasse, lumpsucker",5500,2006,4,2.038,0.492,1.683388,0.01750451,0.085189357,0.209290102
"ardmaddy",2000198,"lighthouse caledonia ltd","s",2008-07-11,NA,"atlantic salmon","grower fish (salmon only)",30,4500,"hole in net - hol",5500,0,"fs0464",1985-09-01,"argyll and bute","no",NA,"medium","16d - seil sound to loch craignish","lumpsucker, atlantic salmon, wrasse",5500,2015,9,1.972,0.63,1.30152,0.01703191,0.086864225,0.204883178
